"Origin","Destination","Transport","TimeHours","CostUSD","LastUpdated","Note"
"Funafuti","Singapore","plane","11.78","570.44","2026-06-24","Estimated from geodesic distance model"
"Funafuti","Suva","boat","23.67","68.31","2026-06-24","Estimated from geodesic distance model"
"Funafuti","Washington DC","plane","18.7","804.2","2026-06-24","Estimated from geodesic distance model"
"Gaborone","Harare","bus","13.79","38.84","2026-06-24","Estimated from geodesic distance model"
"Gaborone","Lusaka","bus","16.33","41.25","2026-06-24","Estimated from geodesic distance model"
"Gaborone","Pretoria","bus","4.25","14.2","2026-06-24","Estimated from geodesic distance model"
"Gaborone","Windhoek","bus","13.57","38.26","2026-06-24","Estimated from geodesic distance model"
"George Town","Canberra","plane","26.53","928.48","2026-06-24","Estimated from geodesic distance model"
"George Town","Lima","plane","5.26","269.84","2026-06-24","Estimated from geodesic distance model"
"George Town","London","plane","11.14","534.82","2026-06-24","Estimated from geodesic distance model"
"George Town","Pretoria","plane","20.11","794.97","2026-06-24","Estimated from geodesic distance model"
"George Town","Singapore","plane","28.19","1139.84","2026-06-24","Estimated from geodesic distance model"
"George Town","Washington DC","plane","3.65","191.72","2026-06-24","Estimated from geodesic distance model"
"Georgetown","Budapest","plane","11.79","571.49","2026-06-24","Estimated from geodesic distance model"
"Georgetown","Canberra","plane","26.71","1049.89","2026-06-24","Estimated from geodesic distance model"
"Georgetown","Lima","plane","4.3","245.72","2026-06-24","Estimated from geodesic distance model"
"Georgetown","Lisbon","plane","9.9","419.59","2026-06-24","Estimated from geodesic distance model"
"Georgetown","London","plane","10.58","505.03","2026-06-24","Estimated from geodesic distance model"
"Georgetown","Paramaribo","bus","6.08","17.37","2026-06-24","Estimated from geodesic distance model"
"Georgetown","Pretoria","plane","16.09","671.24","2026-06-24","Estimated from geodesic distance model"
"Georgetown","Singapore","plane","28.13","1140.45","2026-06-24","Estimated from geodesic distance model"
"Georgetown","Washington DC","plane","5.38","303.48","2026-06-24","Estimated from geodesic distance model"
"Guatemala","Belmopan","plane","1.34","79.06","2026-06-24","Estimated from geodesic distance model"
"Guatemala","Mexico","plane","2.22","121.67","2026-06-24","Estimated from geodesic distance model"
"Guatemala","Mexico","plane","2.22","121.67","2026-06-24","Estimated from geodesic distance model"
"Guatemala","Panama","plane","2.47","147.54","2026-06-24","Estimated from geodesic distance model"
"Guatemala","San Salvador","bus","3.09","11.21","2026-06-24","Estimated from geodesic distance model"
"Guatemala","Tegucigalpa","plane","1.36","79.98","2026-06-24","Estimated from geodesic distance model"
"Hanoi","Beijing","train","22.3","120.93","2026-06-24","Estimated from geodesic distance model"
"Hanoi","Manila","plane","2.94","172.72","2026-06-24","Estimated from geodesic distance model"
"Hanoi","Phnom Penh","plane","2.15","117.95","2026-06-24","Estimated from geodesic distance model"
"Hanoi","Phnom Penh","train","10.95","58.76","2026-06-24","Estimated from geodesic distance model"
"Hanoi","Vientiane","bus","7.83","21.34","2026-06-24","Estimated from geodesic distance model"
"Hanoi","Washington DC","plane","23.42","881.06","2026-06-24","Estimated from geodesic distance model"
"Harare","Gaborone","bus","14.08","39.6","2026-06-24","Estimated from geodesic distance model"
"Harare","Lusaka","plane","1.4","82","2026-06-24","Estimated from geodesic distance model"
"Harare","Lusaka","train","4.02","29.81","2026-06-24","Estimated from geodesic distance model"
"Harare","Maputo","plane","2.02","111.85","2026-06-24","Estimated from geodesic distance model"
"Harare","Pretoria","plane","2.07","114.29","2026-06-24","Estimated from geodesic distance model"
"Havana","Canberra","plane","26.58","931.96","2026-06-24","Estimated from geodesic distance model"
"Havana","London","plane","10.77","515.63","2026-06-24","Estimated from geodesic distance model"
"Havana","Nassau","plane","1.53","97.05","2026-06-24","Estimated from geodesic distance model"
"Havana","Pretoria","plane","23.82","805.31","2026-06-24","Estimated from geodesic distance model"
"Havana","Singapore","plane","27.36","1100.63","2026-06-24","Estimated from geodesic distance model"
"Helsinki","Canberra","plane","25.04","976.58","2026-06-24","Estimated from geodesic distance model"
"Helsinki","Lima","plane","19.48","759.82","2026-06-24","Estimated from geodesic distance model"
"Helsinki","London","plane","3.04","177.82","2026-06-24","Estimated from geodesic distance model"
"Helsinki","Moscow","train","9.18","50.7","2026-06-24","Estimated from geodesic distance model"
"Helsinki","Oslo","plane","1.85","103.43","2026-06-24","Estimated from geodesic distance model"
"Helsinki","Pretoria","plane","16.63","622.16","2026-06-24","Estimated from geodesic distance model"
"Helsinki","Reykjavik","plane","3.56","205.61","2026-06-24","Estimated from geodesic distance model"
"Helsinki","Singapore","plane","15.77","585.36","2026-06-24","Estimated from geodesic distance model"
"Helsinki","Stockholm","boat","10.15","39.89","2026-06-24","Estimated from geodesic distance model"
"Helsinki","Tallinn","boat","3.2","27.52","2026-06-24","Estimated from geodesic distance model"
"Helsinki","Washington DC","plane","10.61","455.37","2026-06-24","Estimated from geodesic distance model"
"Honiara","Port Vila","plane","2.42","131.09","2026-06-24","Estimated from geodesic distance model"
"Islamabad","Beijing","plane","5.7","291.55","2026-06-24","Estimated from geodesic distance model"
"Islamabad","Canberra","plane","17.89","687.26","2026-06-24","Estimated from geodesic distance model"
"Islamabad","Kabul","plane","1.33","86.3","2026-06-24","Estimated from geodesic distance model"
"Islamabad","Lima","plane","26.67","1054.97","2026-06-24","Estimated from geodesic distance model"
"Islamabad","Lima","plane","26.67","1054.97","2026-06-24","Estimated from geodesic distance model"
"Islamabad","London","plane","9.6","406.31","2026-06-24","Estimated from geodesic distance model"
"Islamabad","New Delhi","plane","1.71","96.74","2026-06-24","Estimated from geodesic distance model"
"Islamabad","Pretoria","plane","11.72","565.26","2026-06-24","Estimated from geodesic distance model"
"Islamabad","Singapore","plane","6.24","349.9","2026-06-24","Estimated from geodesic distance model"
"Islamabad","Tehran","plane","3.29","173.62","2026-06-24","Estimated from geodesic distance model"
"Islamabad","Washington DC","plane","17.74","759.25","2026-06-24","Estimated from geodesic distance model"
"Jakarta","Dili","bus","30.74","74.76","2026-06-24","Estimated from geodesic distance model"
"Jakarta","Kuala Lumpur","plane","2.37","129.08","2026-06-24","Estimated from geodesic distance model"
"Jakarta","Port Moresby","plane","6.28","318.86","2026-06-24","Estimated from geodesic distance model"
"Jerusalem","Amman","plane","0.97","66.93","2026-06-24","Estimated from geodesic distance model"
"Jerusalem","Cairo","bus","6.85","18.99","2026-06-24","Estimated from geodesic distance model"
"Jerusalem","Canberra","plane","24.73","941.57","2026-06-24","Estimated from geodesic distance model"
"Jerusalem","Lima","plane","19.98","789.2","2026-06-24","Estimated from geodesic distance model"
"Jerusalem","London","plane","5.19","265.85","2026-06-24","Estimated from geodesic distance model"
"Jerusalem","Pretoria","plane","9.69","456.92","2026-06-24","Estimated from geodesic distance model"
"Jerusalem","Singapore","plane","11.83","514.81","2026-06-24","Estimated from geodesic distance model"
"Jerusalem","Washington DC","plane","15.95","657.55","2026-06-24","Estimated from geodesic distance model"
"Kabul","Algiers","plane","9.02","420.71","2026-06-24","Estimated from geodesic distance model"
"Kabul","Ashgabat","plane","2.21","120.8","2026-06-24","Estimated from geodesic distance model"
"Kabul","Astana","plane","2.98","174.51","2026-06-24","Estimated from geodesic distance model"
"Kabul","Islamabad","plane","1.29","83.4","2026-06-24","Estimated from geodesic distance model"
"Kabul","T'bilisi","bus","34.71","84.31","2026-06-24","Estimated from geodesic distance model"
"Kabul","Tehran","plane","2.68","158.58","2026-06-24","Estimated from geodesic distance model"
"Kampala","Kigali","bus","6.06","18.95","2026-06-24","Estimated from geodesic distance model"
"Kampala","Nairobi","bus","7.93","23.74","2026-06-24","Estimated from geodesic distance model"
"Kathmandu","Beijing","train","31.6","151.96","2026-06-24","Estimated from geodesic distance model"
"Kathmandu","Beijing","plane","4.64","239.09","2026-06-24","Estimated from geodesic distance model"
"Kathmandu","New Delhi","bus","12.34","31.84","2026-06-24","Estimated from geodesic distance model"
"Kathmandu","Thimphu","plane","1.43","82.89","2026-06-24","Estimated from geodesic distance model"
"Khartoum","Bangui","plane","3.24","171.04","2026-06-24","Estimated from geodesic distance model"
"Khartoum","Cairo","train","16.08","81.62","2026-06-24","Estimated from geodesic distance model"
"Khartoum","London","plane","6.73","340.19","2026-06-24","Estimated from geodesic distance model"
"Khartoum","N'Djamena","plane","3.19","168.21","2026-06-24","Estimated from geodesic distance model"
"Khartoum","Washington DC","plane","16.99","716.05","2026-06-24","Estimated from geodesic distance model"
"Kyiv","Bratislava","train","10.2","55.24","2026-06-24","Estimated from geodesic distance model"
"Kyiv","Bucharest","train","7.71","44.01","2026-06-24","Estimated from geodesic distance model"
"Kyiv","Budapest","train","8.77","53.5","2026-06-24","Estimated from geodesic distance model"
"Kyiv","Canberra","plane","25.4","984.21","2026-06-24","Estimated from geodesic distance model"
"Kyiv","Chisinau","train","4.25","31.1","2026-06-24","Estimated from geodesic distance model"
"Kyiv","Lima","plane","18.39","798.49","2026-06-24","Estimated from geodesic distance model"
"Kyiv","London","plane","3.37","195.31","2026-06-24","Estimated from geodesic distance model"
"Kyiv","Minsk","train","4.82","31.32","2026-06-24","Estimated from geodesic distance model"
"Kyiv","Moscow","train","7.8","44.38","2026-06-24","Estimated from geodesic distance model"
"Kyiv","Pretoria","plane","11.84","573.61","2026-06-24","Estimated from geodesic distance model"
"Kyiv","Singapore","plane","12.08","586.86","2026-06-24","Estimated from geodesic distance model"
"Kyiv","Warsaw","train","7.14","41.41","2026-06-24","Estimated from geodesic distance model"
"Kyiv","Washington DC","plane","11.3","543","2026-06-24","Estimated from geodesic distance model"
"Kigali","Bujumbura","bus","3.08","11.23","2026-06-24","Estimated from geodesic distance model"
"Kigali","Canberra","plane","19.98","786.37","2026-06-24","Estimated from geodesic distance model"
"Kigali","Kampala","bus","6.2","17.54","2026-06-24","Estimated from geodesic distance model"
"Kigali","Kinshasa","plane","2.94","156.62","2026-06-24","Estimated from geodesic distance model"
"Kigali","Kinshasa","bus","25.34","62.31","2026-06-24","Estimated from geodesic distance model"
"Kigali","Lima","plane","19.25","750.52","2026-06-24","Estimated from geodesic distance model"
"Kigali","London","plane","10.4","444.83","2026-06-24","Estimated from geodesic distance model"
"Kigali","Nairobi","plane","1.74","107.81","2026-06-24","Estimated from geodesic distance model"
"Kigali","Pretoria","plane","4.01","208.1","2026-06-24","Estimated from geodesic distance model"
"Kigali","Singapore","plane","12.51","546.65","2026-06-24","Estimated from geodesic distance model"
"Kigali","Singapore","plane","12.51","546.65","2026-06-24","Estimated from geodesic distance model"
"Kigali","Washington DC","plane","19.02","739.05","2026-06-24","Estimated from geodesic distance model"
"Kigali","Yaounde","plane","3.44","180.7","2026-06-24","Estimated from geodesic distance model"
"Kingston","Canberra","plane","3.24","170.9","2026-06-24","Estimated from geodesic distance model"
"Kingston","Canberra","plane","3.24","170.9","2026-06-24","Estimated from geodesic distance model"
"Kingston","Lima","plane","18.01","691.1","2026-06-24","Estimated from geodesic distance model"
"Kingston","London","plane","29.17","1199.7","2026-06-24","Estimated from geodesic distance model"
"Kingston","Pretoria","plane","17.6","750.25","2026-06-24","Estimated from geodesic distance model"
"Kingston","Singapore","plane","11.56","558.25","2026-06-24","Estimated from geodesic distance model"
"Kingston","Washington DC","plane","26.52","926.91","2026-06-24","Estimated from geodesic distance model"
"Kingston","Wellington","plane","1.75","99.19","2026-06-24","Estimated from geodesic distance model"
"Kingstown","Bridgetown","boat","4.83","32.73","2026-06-24","Estimated from geodesic distance model"
"Kinshasa","Bujumbura","plane","2.69","158.89","2026-06-24","Estimated from geodesic distance model"
"Kinshasa","Canberra","plane","24.98","853.05","2026-06-24","Estimated from geodesic distance model"
"Kinshasa","Kigali","plane","2.77","163.02","2026-06-24","Estimated from geodesic distance model"
"Kinshasa","Kigali","bus","23.87","64.84","2026-06-24","Estimated from geodesic distance model"
"Kinshasa","Lima","plane","17.38","658.18","2026-06-24","Estimated from geodesic distance model"
"Kinshasa","London","plane","10.22","435.55","2026-06-24","Estimated from geodesic distance model"
"Kinshasa","Pretoria","plane","4.16","215.73","2026-06-24","Estimated from geodesic distance model"
"Kinshasa","Singapore","plane","16","665.88","2026-06-24","Estimated from geodesic distance model"
"Kinshasa","Washington DC","plane","16.51","696.33","2026-06-24","Estimated from geodesic distance model"
"Ngerulmud","Canberra","plane","6.47","362.07","2026-06-24","Estimated from geodesic distance model"
"Ngerulmud","Lima","plane","29.21","1052.63","2026-06-24","Estimated from geodesic distance model"
"Ngerulmud","London","plane","19.86","778.64","2026-06-24","Estimated from geodesic distance model"
"Ngerulmud","Pretoria","plane","19.63","767.72","2026-06-24","Estimated from geodesic distance model"
"Ngerulmud","Singapore","plane","4.86","275.33","2026-06-24","Estimated from geodesic distance model"
"Ngerulmud","Washington DC","plane","23.96","911.84","2026-06-24","Estimated from geodesic distance model"
"Kuala Lumpur","Bangkok","plane","2.34","127.21","2026-06-24","Estimated from geodesic distance model"
"Kuala Lumpur","Canberra","plane","10.3","439.94","2026-06-24","Estimated from geodesic distance model"
"Kuala Lumpur","Canberra","plane","10.3","439.94","2026-06-24","Estimated from geodesic distance model"
"Kuala Lumpur","Jakarta","plane","2.36","128.82","2026-06-24","Estimated from geodesic distance model"
"Kuala Lumpur","Lima","plane","31.67","1178.4","2026-06-24","Estimated from geodesic distance model"
"Kuala Lumpur","London","plane","17.95","685.12","2026-06-24","Estimated from geodesic distance model"
"Kuala Lumpur","Pretoria","plane","12.41","542.94","2026-06-24","Estimated from geodesic distance model"
"Kuala Lumpur","Singapore","train","3.5","27.43","2026-06-24","Estimated from geodesic distance model"
"Kuala Lumpur","Washington DC","plane","27.63","977.07","2026-06-24","Estimated from geodesic distance model"
"Kuala Lumpur","Washington DC","plane","27.63","977.07","2026-06-24","Estimated from geodesic distance model"
"Kuala Lumpur","Washington DC","plane","27.63","977.07","2026-06-24","Estimated from geodesic distance model"
"Kuwait","Baghdad","plane","1.49","94.43","2026-06-24","Estimated from geodesic distance model"
"Kuwait","Tunis","plane","4.88","276.47","2026-06-24","Estimated from geodesic distance model"
"La Paz","Asuncion","bus","20.82","56.98","2026-06-24","Estimated from geodesic distance model"
"La Paz","Brasilia","plane","3.4","196.91","2026-06-24","Estimated from geodesic distance model"
"La Paz","Buenos Aires","bus","34.06","91.14","2026-06-24","Estimated from geodesic distance model"
"La Paz","Canberra","plane","23.3","870.83","2026-06-24","Estimated from geodesic distance model"
"La Paz","Lima","bus","15.3","42.71","2026-06-24","Estimated from geodesic distance model"
"La Paz","Lima","plane","2.14","129.39","2026-06-24","Estimated from geodesic distance model"
"La Paz","London","plane","16.77","632.44","2026-06-24","Estimated from geodesic distance model"
"La Paz","Pretoria","plane","15.78","656.67","2026-06-24","Estimated from geodesic distance model"
"La Paz","Santiago","bus","26.78","72.36","2026-06-24","Estimated from geodesic distance model"
"La Paz","Singapore","plane","28.81","1171.93","2026-06-24","Estimated from geodesic distance model"
"La Paz","Washington DC","plane","10.17","432.73","2026-06-24","Estimated from geodesic distance model"
"Libreville","Canberra","plane","26.02","903.2","2026-06-24","Estimated from geodesic distance model"
"Libreville","Conakry","plane","4.2","217.51","2026-06-24","Estimated from geodesic distance model"
"Libreville","Lima","plane","16.9","633.48","2026-06-24","Estimated from geodesic distance model"
"Libreville","London","plane","8.78","408.9","2026-06-24","Estimated from geodesic distance model"
"Libreville","Singapore","plane","17.58","669.99","2026-06-24","Estimated from geodesic distance model"
"Lilongwe","Canberra","plane","17.45","746.16","2026-06-24","Estimated from geodesic distance model"
"Lilongwe","Dodoma","plane","2.02","112.36","2026-06-24","Estimated from geodesic distance model"
"Lilongwe","Lima","plane","18.54","798.78","2026-06-24","Estimated from geodesic distance model"
"Lilongwe","London","plane","12.07","525.94","2026-06-24","Estimated from geodesic distance model"
"Lilongwe","Lusaka","bus","9.2","26.96","2026-06-24","Estimated from geodesic distance model"
"Lilongwe","Maputo","plane","2.41","143.67","2026-06-24","Estimated from geodesic distance model"
"Lilongwe","Pretoria","plane","2.68","144.22","2026-06-24","Estimated from geodesic distance model"
"Lilongwe","Singapore","plane","12.23","532.69","2026-06-24","Estimated from geodesic distance model"
"Lilongwe","Washington DC","plane","20.19","797.44","2026-06-24","Estimated from geodesic distance model"
"Lima","Abu Dhabi","plane","25.52","985.23","2026-06-24","Estimated from geodesic distance model"
"Lima","Amsterdam","plane","17.42","663.98","2026-06-24","Estimated from geodesic distance model"
"Lima","Ashgabat","plane","24.55","948.83","2026-06-24","Estimated from geodesic distance model"
"Lima","Asmara","plane","23.21","868.81","2026-06-24","Estimated from geodesic distance model"
"Lima","Athens","plane","19.43","757.32","2026-06-24","Estimated from geodesic distance model"
"Lima","Baghdad","plane","24.45","836.53","2026-06-24","Estimated from geodesic distance model"
"Lima","Baku","plane","23.75","905.64","2026-06-24","Estimated from geodesic distance model"
"Lima","Bangui","plane","17.34","732.9","2026-06-24","Estimated from geodesic distance model"
"Lima","Beijing","plane","27.44","1093.17","2026-06-24","Estimated from geodesic distance model"
"Lima","Belgrade","plane","17.81","764.41","2026-06-24","Estimated from geodesic distance model"
"Lima","Belmopan","plane","5.24","268.93","2026-06-24","Estimated from geodesic distance model"
"Lima","Berlin","plane","17.9","761.24","2026-06-24","Estimated from geodesic distance model"
"Lima","Bern","plane","18.09","691.19","2026-06-24","Estimated from geodesic distance model"
"Lima","Bogota","plane","3.19","169.08","2026-06-24","Estimated from geodesic distance model"
"Lima","Bogota","plane","3.19","169.08","2026-06-24","Estimated from geodesic distance model"
"Lima","Brasilia","plane","4.49","255.53","2026-06-24","Estimated from geodesic distance model"
"Lima","Bridgetown","plane","4.83","274.16","2026-06-24","Estimated from geodesic distance model"
"Lima","Brussels","plane","16.57","697.59","2026-06-24","Estimated from geodesic distance model"
"Lima","Bucharest","plane","19.82","775.22","2026-06-24","Estimated from geodesic distance model"
"Lima","Budapest","plane","18.86","731.08","2026-06-24","Estimated from geodesic distance model"
"Lima","Bujumbura","plane","19.13","744.36","2026-06-24","Estimated from geodesic distance model"
"Lima","Cairo","plane","18.58","808.39","2026-06-24","Estimated from geodesic distance model"
"Lima","Canberra","plane","19.35","846.48","2026-06-24","Estimated from geodesic distance model"
"Lima","Caracas","plane","4.12","213.44","2026-06-24","Estimated from geodesic distance model"
"Lima","Chisinau","plane","20","784.39","2026-06-24","Estimated from geodesic distance model"
"Lima","Dili","plane","27.2","1083.85","2026-06-24","Estimated from geodesic distance model"
"Lima","Funafuti","plane","18.02","769.22","2026-06-24","Estimated from geodesic distance model"
"Lima","George Town","plane","5.13","262.8","2026-06-24","Estimated from geodesic distance model"
"Lima","Georgetown","plane","4.36","248.57","2026-06-24","Estimated from geodesic distance model"
"Lima","Helsinki","plane","18.72","806","2026-06-24","Estimated from geodesic distance model"
"Lima","Islamabad","plane","28.15","1007.64","2026-06-24","Estimated from geodesic distance model"
"Lima","Islamabad","plane","28.15","1007.64","2026-06-24","Estimated from geodesic distance model"
"Lima","Jerusalem","plane","19.14","837.21","2026-06-24","Estimated from geodesic distance model"
"Lima","Kyiv","plane","19.24","833.52","2026-06-24","Estimated from geodesic distance model"
"Lima","Kigali","plane","19.18","747.44","2026-06-24","Estimated from geodesic distance model"
"Lima","Kingston","plane","17.38","736.68","2026-06-24","Estimated from geodesic distance model"
"Lima","Kinshasa","plane","16.37","684.94","2026-06-24","Estimated from geodesic distance model"
"Lima","Ngerulmud","plane","28.93","1042.12","2026-06-24","Estimated from geodesic distance model"
"Lima","Kuala Lumpur","plane","31.79","1183.2","2026-06-24","Estimated from geodesic distance model"
"Lima","La Paz","bus","15.75","43.89","2026-06-24","Estimated from geodesic distance model"
"Lima","La Paz","plane","2.15","117.98","2026-06-24","Estimated from geodesic distance model"
"Lima","Libreville","plane","15.86","656.44","2026-06-24","Estimated from geodesic distance model"
"Lima","Lilongwe","plane","18.91","737.05","2026-06-24","Estimated from geodesic distance model"
"Lima","Lisbon","plane","12.42","604.83","2026-06-24","Estimated from geodesic distance model"
"Lima","Luxembourg","plane","17.61","671.72","2026-06-24","Estimated from geodesic distance model"
"Lima","Madrid","plane","16.4","612.39","2026-06-24","Estimated from geodesic distance model"
"Lima","Madrid","plane","16.4","612.39","2026-06-24","Estimated from geodesic distance model"
"Lima","Malabo","plane","15.49","642.17","2026-06-24","Estimated from geodesic distance model"
"Lima","Male","plane","26.76","1067.5","2026-06-24","Estimated from geodesic distance model"
"Lima","Male","plane","26.76","1067.5","2026-06-24","Estimated from geodesic distance model"
"Lima","Manama","plane","25.03","959.15","2026-06-24","Estimated from geodesic distance model"
"Lima","Maseru","plane","18.06","691.33","2026-06-24","Estimated from geodesic distance model"
"Lima","Mbabane","plane","17.71","754.55","2026-06-24","Estimated from geodesic distance model"
"Lima","Mbabane","plane","17.71","754.55","2026-06-24","Estimated from geodesic distance model"
"Lima","Montevideo","plane","4.86","249.67","2026-06-24","Estimated from geodesic distance model"
"Lima","N'Djamena","plane","16.93","712.92","2026-06-24","Estimated from geodesic distance model"
"Lima","Nassau","plane","5.82","296.6","2026-06-24","Estimated from geodesic distance model"
"Lima","New Delhi","plane","27.27","1088.88","2026-06-24","Estimated from geodesic distance model"
"Lima","Noumea","plane","19.08","824.92","2026-06-24","Estimated from geodesic distance model"
"Lima","Noumea","plane","19.08","824.92","2026-06-24","Estimated from geodesic distance model"
"Lima","Nuku'alofa","plane","16.24","681.13","2026-06-24","Estimated from geodesic distance model"
"Lima","Nuuk","plane","12.09","587.71","2026-06-24","Estimated from geodesic distance model"
"Lima","Oranjestad","plane","4.19","239.81","2026-06-24","Estimated from geodesic distance model"
"Lima","Oslo","plane","18.15","698.45","2026-06-24","Estimated from geodesic distance model"
"Lima","Ottawa","plane","10.4","443.5","2026-06-24","Estimated from geodesic distance model"
"Lima","Ouagadougou","plane","13.17","578.97","2026-06-24","Estimated from geodesic distance model"
"Lima","Pyongyang","plane","26.97","1068.4","2026-06-24","Estimated from geodesic distance model"
"Lima","Pyongyang","plane","26.97","1068.4","2026-06-24","Estimated from geodesic distance model"
"Lima","Panama","plane","3.8","198.59","2026-06-24","Estimated from geodesic distance model"
"Lima","Papeete","plane","11.82","513.67","2026-06-24","Estimated from geodesic distance model"
"Lima","Paramaribo","plane","4.79","247.23","2026-06-24","Estimated from geodesic distance model"
"Lima","Paris","plane","16.41","688.22","2026-06-24","Estimated from geodesic distance model"
"Lima","Phnom Penh","plane","31","1285.47","2026-06-24","Estimated from geodesic distance model"
"Lima","Port Moresby","plane","26.1","909.96","2026-06-24","Estimated from geodesic distance model"
"Lima","Port Vila","plane","20.06","786.28","2026-06-24","Estimated from geodesic distance model"
"Lima","Prague","plane","18.55","715.47","2026-06-24","Estimated from geodesic distance model"
"Lima","Praia","plane","10.31","440.53","2026-06-24","Estimated from geodesic distance model"
"Lima","Reykjavik","plane","15.7","650.32","2026-06-24","Estimated from geodesic distance model"
"Lima","Riga","plane","18.34","789.83","2026-06-24","Estimated from geodesic distance model"
"Lima","Road Town","plane","5.35","274.01","2026-06-24","Estimated from geodesic distance model"
"Lima","Roseau","plane","5.05","259","2026-06-24","Estimated from geodesic distance model"
"Lima","Roseau","plane","5.05","259","2026-06-24","Estimated from geodesic distance model"
"Lima","Saint-Pierre","plane","10.89","468.01","2026-06-24","Estimated from geodesic distance model"
"Lima","San Marino","plane","17.42","738.72","2026-06-24","Estimated from geodesic distance model"
"Lima","San Salvador","plane","4.56","259.4","2026-06-24","Estimated from geodesic distance model"
"Lima","Santiago","plane","3.85","200.65","2026-06-24","Estimated from geodesic distance model"
"Lima","Seoul","plane","28.58","1026","2026-06-24","Estimated from geodesic distance model"
"Lima","Singapore","plane","30.95","1148.14","2026-06-24","Estimated from geodesic distance model"
"Lima","St. Peter Port","plane","17.09","644.56","2026-06-24","Estimated from geodesic distance model"
"Lima","Tallinn","plane","18.04","777.8","2026-06-24","Estimated from geodesic distance model"
"Lima","Tehran","plane","24.83","949.93","2026-06-24","Estimated from geodesic distance model"
"Lima","Tokyo","plane","25.81","1010.59","2026-06-24","Estimated from geodesic distance model"
"Lima","Torshavn","plane","17.49","663.08","2026-06-24","Estimated from geodesic distance model"
"Lima","Tunis","plane","16.52","697.59","2026-06-24","Estimated from geodesic distance model"
"Lima","Valletta","plane","18.61","715.83","2026-06-24","Estimated from geodesic distance model"
"Lima","Vientiane","plane","31.85","1189.22","2026-06-24","Estimated from geodesic distance model"
"Lima","Vientiane","plane","31.85","1189.22","2026-06-24","Estimated from geodesic distance model"
"Lima","Vilnius","plane","19.61","765.71","2026-06-24","Estimated from geodesic distance model"
"Lima","W. Indies","plane","5.22","266.92","2026-06-24","Estimated from geodesic distance model"
"Lima","Warsaw","plane","18.18","780.19","2026-06-24","Estimated from geodesic distance model"
"Lima","Washington DC","plane","9.32","391.8","2026-06-24","Estimated from geodesic distance model"
"Lima","Wellington","plane","16.69","704.81","2026-06-24","Estimated from geodesic distance model"
"Lima","Willemstad","plane","4.02","230.25","2026-06-24","Estimated from geodesic distance model"
"Lima","Yaounde","plane","16.19","674.53","2026-06-24","Estimated from geodesic distance model"
"Lima","Zagreb","plane","17.54","748.32","2026-06-24","Estimated from geodesic distance model"
"Lisbon","Canberra","plane","30.16","1108.44","2026-06-24","Estimated from geodesic distance model"
"Lisbon","Caracas","plane","10.22","436.07","2026-06-24","Estimated from geodesic distance model"
"Lisbon","Georgetown","plane","9.29","434.81","2026-06-24","Estimated from geodesic distance model"
"Lisbon","Lima","plane","12.68","616.82","2026-06-24","Estimated from geodesic distance model"
"Lisbon","London","plane","2.74","161.58","2026-06-24","Estimated from geodesic distance model"
"Lisbon","Madrid","bus","8.06","21.87","2026-06-24","Estimated from geodesic distance model"
"Lisbon","Madrid","train","5.03","34.74","2026-06-24","Estimated from geodesic distance model"
"Lisbon","Paramaribo","plane","9.57","404.38","2026-06-24","Estimated from geodesic distance model"
"Lisbon","Pretoria","plane","11.93","574.78","2026-06-24","Estimated from geodesic distance model"
"Lisbon","Rome","plane","2.96","173.27","2026-06-24","Estimated from geodesic distance model"
"Lisbon","Singapore","plane","19.25","751.17","2026-06-24","Estimated from geodesic distance model"
"Lisbon","Washington DC","plane","8.69","404.99","2026-06-24","Estimated from geodesic distance model"
"Ljubljana","Zagreb","train","1.6","16.51","2026-06-24","Estimated from geodesic distance model"
"Lome","Accra","plane","1.06","71.45","2026-06-24","Estimated from geodesic distance model"
"Lome","Ouagadougou","plane","1.7","105.41","2026-06-24","Estimated from geodesic distance model"
"Lome","Porto-Novo","plane","1.1","67.01","2026-06-24","Estimated from geodesic distance model"
"London","Abu Dhabi","plane","8.97","375.7","2026-06-24","Estimated from geodesic distance model"
"London","Amsterdam","plane","1.36","80.15","2026-06-24","Estimated from geodesic distance model"
"London","Ashgabat","plane","6.25","350.2","2026-06-24","Estimated from geodesic distance model"
"London","Asmara","plane","8.28","382.3","2026-06-24","Estimated from geodesic distance model"
"London","Asuncion","plane","17.08","646.87","2026-06-24","Estimated from geodesic distance model"
"London","Athens","plane","3.8","198.24","2026-06-24","Estimated from geodesic distance model"
"London","Baghdad","plane","5.76","293.23","2026-06-24","Estimated from geodesic distance model"
"London","Baku","plane","5.37","303.18","2026-06-24","Estimated from geodesic distance model"
"London","Bangui","plane","8.67","401.65","2026-06-24","Estimated from geodesic distance model"
"London","Beijing","plane","11.82","569.88","2026-06-24","Estimated from geodesic distance model"
"London","Belgrade","plane","2.85","167.49","2026-06-24","Estimated from geodesic distance model"
"London","Belmopan","plane","11.86","573.82","2026-06-24","Estimated from geodesic distance model"
"London","Berlin","plane","1.96","119.81","2026-06-24","Estimated from geodesic distance model"
"London","Bern","plane","1.69","105.32","2026-06-24","Estimated from geodesic distance model"
"London","Bogota","plane","12.56","550.19","2026-06-24","Estimated from geodesic distance model"
"London","Bogota","plane","12.56","550.19","2026-06-24","Estimated from geodesic distance model"
